name,faceSrc,team,position,age,height,number,rating
Baer Hunter,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360784.png&w=150,2026,5,20,6"2',51,60
Victor Johnson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3917148.png&w=150,2026,5,21,6"5',75,60
Craig McFarland,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4430130.png&w=150,2026,5,18,6"6',78,60
Ryan Neuzil,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036444.png&w=150,2026,5,20,6"3',58,60
Ivan Reyes,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4048149.png&w=150,2026,5,20,6"1',63,60
Matt Williams,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036442.png&w=150,2026,5,20,6"5',55,60
Logan Wright,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4048153.png&w=150,2026,5,20,6"4',67,60
George Blackstock,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360796.png&w=150,2026,12,19,6"1',95,72
Markell Clark,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4245468.png&w=150,2026,12,20,6"0',96,60
Tommy Dawkins,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4048142.png&w=150,2026,12,20,6"2',91,67
Elijah Diarrassouba,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4048143.png&w=150,2026,12,20,6"1',57,68
Jordon Earle,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4373570.png&w=150,2026,12,18,6"2',99,65
Zareon Hayes,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360771.png&w=150,2026,12,18,6"1',30,65
Will Israel,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360785.png&w=150,2026,12,19,6"2',66,60
Brock Mattison,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360774.png&w=150,2026,12,18,6"1',36,60
Cameron Pack,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4048148.png&w=150,2026,12,21,6"4',76,60
Hansky Paillant,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360780.png&w=150,2026,12,18,6"2',43,65
Dorian Pickett,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4383600.png&w=150,2026,12,18,6"2',89,60
E.J. Scott,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4245483.png&w=150,2026,12,21,6"3',98,71
Luke Smith,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4569672.png&w=150,2026,12,18,6"1',94,60
Caleb Spurlin,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4048150.png&w=150,2026,12,20,5"10',97,70
Demetrius Taylor,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241011.png&w=150,2026,12,20,6"1',48,76
Chris Washington,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360782.png&w=150,2026,12,18,5"11',46,65
Chris Willis,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036452.png&w=150,2026,12,20,6"2',90,60
Tyler Bird,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360783.png&w=150,2026,13,19,6"2',51,68
KeSean Brown,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4426801.png&w=150,2026,13,18,6"2',28,67
Trey Cobb,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360781.png&w=150,2026,13,19,6"2',45,73
Noel Cook,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036441.png&w=150,2026,13,21,6"0',20,78
Grant Daley,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4569671.png&w=150,2026,13,18,6"2',58,60
Akeem Davis-Gaither,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3917142.png&w=150,2026,13,21,6"2',24,83
Logan Doublin,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360777.png&w=150,2026,13,19,6"0',40,66
Tanner Ellenberger,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360775.png&w=150,2026,13,19,6"3',37,60
Jordan Fehr,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036445.png&w=150,2026,13,21,6"3',59,83
Jace Frisbee,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360776.png&w=150,2026,13,19,6"2',22,60
Tim Frizzell,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241000.png&w=150,2026,13,20,6"1',10,66
Colin Guentensberger,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4577774.png&w=150,2026,13,18,6"0',47,60
Blythe Hall,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4245475.png&w=150,2026,13,20,6"2',49,60
Nick Hampton,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360773.png&w=150,2026,13,18,6"3',31,71
Brendan Harrington,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4429746.png&w=150,2026,13,18,6"1',29,66
Jourdan Heilig,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4427433.png&w=150,2026,13,18,6"2',34,67
D'Marco Jackson,,2026,13,19,6"1',75,60
Matthew McQuinn,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360779.png&w=150,2026,13,19,6"0',27,66
Jordan Mitchell,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4373563.png&w=150,2026,13,18,6"0',33,66
T.D. Roof,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4240493.png&w=150,2026,13,20,5"11',44,60
Tre Caldwell,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4426846.png&w=150,2026,17,18,5"10',15,60
Kaleb Dawson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4360768.png&w=150,2026,17,18,5"11',25,66
Willie Edwards,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3908602.png&w=150,2026,17,21,6"1',2,66
Desmond Franklin,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3917146.png&w=150,2026,17,21,6"0',6,74
Jackson Greene,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4577773.png&w=150,2026,17,18,5"11',39,60
Ryan Huff,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241006.png&w=150,2026,17,19,6"1',21,68
Shemar Jean-Charles,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036430.png&w=150,2026,17,20,5"11',8,72
Emmanuel Jenkins,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4427599.png&w=150,2026,17,18,6"2',35,60
Shaun Jolly,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241008.png&w=150,2026,17,19,5"9',3,72
Steven Jones,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4241009.png&w=150,2026,17,19,5"10',12,66
Jeremy Level,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4036428.png&w=150,2026,17,20,6"1',11,65
