name,faceSrc,team,position,age,height,number,rating
Tayvion Land,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4427756.png&w=150,2335,16,18,5"8',7,69
Javon Scruggs,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365502.png&w=150,2335,16,19,5"11',1,74
DJ Skelton,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365504.png&w=150,2335,16,18,6"1',26,65
Bejour Wilson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365507.png&w=150,2335,16,21,5"11',20,68
Benjamin Alexander,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4029880.png&w=150,2335,18,20,6"1',43,67
Elijah Benton,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3910402.png&w=150,2335,18,21,6"1',31,79
Rion Davis,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3910397.png&w=150,2335,18,21,6"0',3,68
Ceneca Espinoza Jr.,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4029889.png&w=150,2335,18,20,6"1',6,73
Micah Glaize,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4427282.png&w=150,2335,18,18,6"1',28,67
Hunter Goetz,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365486.png&w=150,2335,18,19,6"1',10,65
Marcellous Harris,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4365488.png&w=150,2335,18,18,5"11',21,65
Chris Megginson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4427986.png&w=150,2335,18,18,6"0',19,67
Cade Robinson,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570215.png&w=150,2335,18,18,6"1',38,60
Isaac Steele,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4039616.png&w=150,2335,18,20,6"0',13,69
Stuart Ashley,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4386291.png&w=150,2335,19,18,5"11',85,60
Alex Probert,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4029908.png&w=150,2335,19,20,5"8',10,60
Aidan Alves,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246886.png&w=150,2335,20,19,6"1',13,60
Jake Brickell,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570206.png&w=150,2335,20,18,6"2',91,60
Aaron Peart,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/3957498.png&w=150,2335,20,21,6"2',41,60
Andrew Johns,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4570212.png&w=150,2335,13,18,6"1',54,60
Austin Mock,https://a.espncdn.com/combiner/i?img=/i/headshots/college-football/players/full/4246908.png&w=150,2335,13,19,6"2',51,60
